企业代号,营收规模,毛利率,现金流,优值交易比率,供求稳定程度
E1,591715.4062,-0.303782809,11691505787,0.90975051,0.710949503
E2,54671.29824,3.04519904,866444652.6,0.859726693,0.645656306
E3,28361.22577,10.86943389,740260626.3,0.285807172,0.450166003
E4,1051380.85,5.166100811,2726038124,0.907663893,0.5
E5,229045.4458,0.04627429,474838386.3,0.938889335,0.622459331
E6,420725.8744,0.297437121,783740475.4,0.858345299,0.524979187
E7,75004.1269,8.1699272,677862226.9,0.234789475,0.524979187
E8,45662.19425,1.376827226,611433688,0.814441123,0.524979187
E9,64479.86215,13.26158292,407520436,0.919297241,0.524979187
E10,670243.9276,57.76237628,387177161.4,0.90281696,0.5
E11,149491.3158,0.074186317,322431368.5,0.939715425,0.475020813
E12,924852.6053,1.369866564,374805707.1,0.915219275,0.475020813
E13,34410.08053,1.501291948,385576862.6,0.818035721,0.645656306
E14,79429.67226,0.914976696,403348463,0.908678513,0.524979187
E15,97089.30888,47.74731919,238983357.5,0.936981758,0.59868766
E16,542197.3472,810.6825845,238317883.9,0.888382688,0.645656306
E17,298267.5605,0.290433516,357877812.3,0.796075462,0.524979187
E18,570799.3136,0.465196357,365901428.5,0.89567121,0.622459331
E19,74488.43289,0.042891782,452185393.8,0.867672257,0.645656306
E20,305326.975,0.058213094,461427420.9,0.948519949,0.450166003
E21,90790.89211,-0.044198007,272353654.1,0.906621435,0.5
E22,90150.8928,0.707468018,223286167.3,0.86524178,0.689974481
E23,60407.09478,0.062905374,418543758.3,0.96509862,0.524979187
E24,94099.67189,0.901071489,255891459.4,0.892277503,0.475020813
E25,49663.50415,3.713422263,58875714.13,0.808448818,0.5
E26,92973.86958,0.055959867,91234409.05,0.890220628,0.622459331
E27,34566.60963,-0.023301232,102698167,0.933758086,0.645656306
E28,103311.3599,37.31238345,60318502.27,0.922671353,0.450166003
E29,99967.11322,253.0379578,47671297.22,0.987368421,0.574442517
E30,104731.2829,2.307468039,109117100.7,0.93375,0.574442517
E31,21651.16493,10.05756323,61572809.73,0.957919268,0.710949503
E32,88273.74181,17.68468961,51334968.2,0.839617104,0.622459331
E33,81497.42568,0.033017535,172098483.5,0.819817121,0.524979187
E34,142789.2296,0.58349248,164704725.9,0.837753232,0.5
E35,52250.58936,0.067316886,77928369.62,0.956169526,0.475020813
E36,28067.72246,0.831174723,67132740.23,0.877268225,0.524979187
E37,44003.33405,0.074082401,108168894.9,0.909582725,0.645656306
E38,89938.664,2.538085914,72445333.3,0.864816957,0.622459331
E39,138059.2564,96.42143323,36821767.14,0.871639461,0.689974481
E40,40820.59102,6.436440779,40891602.5,0.75184739,0.524979187
E41,55195.0678,5.215053274,42482345.44,0.847632789,0.5
E42,89700.64954,2491.319857,29343881.4,0.859699111,0.710949503
E43,92342.98604,3.620421551,27520561.33,0.83252299,0.668187772
E44,16419.12016,0.145911705,74870294.2,0.895059876,0.450166003
E45,91908.45114,0.099586011,57035239.93,0.898165989,0.622459331
E46,69531.57066,0.228217821,122863602.6,0.830128965,0.524979187
E47,17410.72266,0.204687877,112094733,0.938925624,0.524979187
E48,59772.98608,3.084335537,75598199.31,0.942152732,0.524979187
E49,85555.22614,0.533478351,72510926.96,0.859203318,0.5
E50,78591.44653,6.463114383,25399797.55,0.743154986,0.59868766
E51,36028.24676,0.417232206,54997572.75,0.923236486,0.645656306
E52,65888.33121,0.299320893,44190700.07,0.742714481,0.475020813
E53,93937.95811,0.146197827,79855923.93,0.860792187,0.710949503
E54,11845.57496,3.363063908,50976457.73,0.903019948,0.524979187
E55,48149.27505,1.298779507,40765965.76,0.205467486,0.5
E56,65190.21036,0.015943803,64031889.48,0.901236061,0.59868766
E57,95475.16402,0.26176078,74960792.39,0.839107826,0.622459331
E58,85339.69,3.083325023,41220828.4,0.706312209,0.475020813
E59,15197.89772,0.460128005,55028377.37,0.9604104,0.524979187
E60,23746.91813,1.216742405,17677696.57,0.814325042,0.549833997
E61,9604.480823,19.29027867,20075046.6,0.941907669,0.59868766
E62,54386.77333,8.164963087,13210294.34,0.592474185,0.5
E63,86659.11097,0.451808297,98493263.99,0.920532757,0.59868766
E64,6850.214007,102.9239034,9509678.31,0.933090909,0.5
E65,18613.99355,0.736408353,14226901.96,0.923118929,0.622459331
E66,8102.90215,0.008304181,10958428.87,0.918091801,0.731058579
E67,30085.72093,3.699491732,7844840.55,0.857465941,0.5
E68,89732.57795,8850.997554,6551218.19,0.890410959,0.668187772
E69,7140.335349,1288.654415,4194626.85,0.714358135,0.622459331
E70,21919.44268,0.947461325,19175055.06,0.776058426,0.622459331
E71,34021.62965,0.069214305,24690341.23,0.951468327,0.524979187
E72,18187.94657,1.912734687,6059193.52,0.709677419,0.475020813
E73,32223.47958,7.733267449,8475519.64,0.853012061,0.622459331
E74,7770.152072,11.78459126,4649749.4,0.885087565,0.668187772
E75,843.3276603,1.645830701,10057681.15,0.930109524,0.710949503
E76,18665.78694,3.877937115,5510628.41,0.906792842,0.622459331
E77,18310.26353,4.833778506,5533822.99,0.952833633,0.710949503
E78,40878.17034,1.922230288,14704318.27,0.925373134,0.59868766
E79,44820.30337,0.159452871,7178998.67,0.860465116,0.622459331
E80,80780.32333,0.489589818,6480491.25,0.979166667,0.622459331
E81,6390.503683,0.758702673,6505673.42,0.932935653,0.645656306
E82,10178.77904,0.96471855,5268329.53,0.967311661,0.689974481
E83,5283.261232,-0.909435936,44916102.59,0.914534211,0.524979187
E84,12995.21243,2.891849936,8134479.44,0.864438442,0.668187772
E85,10652.93584,6.158780841,3557321.62,0.843003413,0.668187772
E86,196775.0527,1.45580411,6091834.74,0.108456561,0.622459331
E87,61256.84851,1.520787717,6331256.9,0.959459459,0.475020813
E88,7496.049825,3.387128268,3681878.39,0.885702189,0.710949503
E89,13274.10558,-0.191360898,5106588.85,0.959302326,0.689974481
E90,18517.25732,5.134214856,5620880.73,0.665035951,0.59868766
E91,22188.22791,0.772110562,4477463.58,0.947570016,0.645656306
E92,64354.87179,14.70943479,2669606.41,0.822672116,0.475020813
E93,10707.68243,3.725102056,1920123.83,0.896685837,0.645656306
E94,6167.925969,72.95775664,1225259.49,0.759269237,0.710949503
E95,2768.48023,2220.109359,2528760.45,0.946330778,0.645656306
E96,78967.5,-0.351521462,4014819.96,0.9,0.689974481
E97,3823.170076,49.77046781,1029196.9,0.942507125,0.645656306
E98,11861.97386,7.663376947,2024370.98,0.76716752,0.59868766
E99,193882.8325,-0.778483531,8553082.27,0.625,0.622459331
E100,7186.759697,29.50587831,734812.23,0.628875665,0.574442517
E101,11523.26048,12.656748,779123.41,0.507936508,0.59868766
E102,2627.180847,-0.874622385,4173894.85,0.717847752,0.5
E103,32582.33969,1.709686654,2854830.95,0.829962671,0.645656306
E104,13834.7619,1036.607143,290810,0.49034687,0.622459331
E105,7893.105656,112.5564729,971438.89,0.935681901,0.710949503
E106,4308.482745,9.725448454,720658.96,0.833392601,0.524979187
E107,17398.14815,7.470832206,1050410,0.62962963,0.689974481
E108,5976.22,0.856616296,303438.21,0.999989859,0.622459331
E109,20698.27273,201.6232572,686414,0.696969697,0.689974481
E110,3318.13494,263.8126923,276445.2,0.746987952,0.59868766
E111,6670.3808,1.552585072,2320891.82,-1.687722966,0.450166003
E112,76287.09955,0.697577086,2666970.08,0.60893325,0.622459331
E113,7248.93617,-0.749114265,1698688.73,0.659574468,0.450166003
E114,3486.1552,-0.626719072,961903.64,0.84386468,0.622459331
E115,18033.33333,192.2142857,108760,0.666666667,0.622459331
E116,5639.474894,93.45178441,267861.57,0.914893617,0.710949503
E117,16339.63636,99.9752809,726064,0.590909091,0.710949503
E118,2241.494444,0.908300082,491917.99,0.941240977,0.645656306
E119,1773.428571,-0.850911137,287039.33,0.857142857,0.689974481
E120,6772.186897,5.503881596,226589.76,0.310344828,0.645656306
E121,633.2944086,-0.905850141,1368912.64,0.876344086,0.645656306
E122,741.4327119,0.599192882,142197.32,0.817543778,0.645656306
E123,4110.28,317.057381,268008.2,0.507692308,0.622459331
